letter_num,description,mss_ocr,edition,salutation,valid_mss,text,pase_refs,pase_keys,scripture_ref,start_page,end_page
Ep. 062,"Alevinus Hundrudac monachae de muneribus gratias agit. Monet ut in aula Offae
regis Merciorum bonum vivendi exemplum prodat. De Cynethrith regina. De monasterio
Inmercum. Egfrido regis filio salutem ascribit. ¢. 786—796.

","Cod. 1' fol. 93'—94 n. 899,","Ed . Q 89, F 149, J 46. — Migne col. 470.",DEO DEVOTE FEMINE HUNDRUDE ALCHVINUS DIACONUS SALUTEM.,T*,True,"['Alcuin 1', 'Hundruda 1', 'Cynethryth 2', 'Offa 7', 'Ecgfrith 7']","['1142', '9905', '3911', '305', '4467']",NEEDS MANUAL VALIDATION,105,106
Ep. 063,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,"['Alcuin 1', 'Anonymous 740', 'Offa 7']","['1142', '9906', '305']",NEEDS MANUAL VALIDATION,106,107
Ep. 064,"Alevinus Offae regi Merciorum remittit discipulum suum iam ad docendum aptum.

787—796.
","Codd, T fol, 61'—62 (T fol. 57), A1 p.28 n. 20%.","Ed . Q.38, F 44, 43. — Migne col. 213.",DOMINO EXCELLENTISSIMO OFFA> REGI HUMILIS LEVITA ALCHVINE SALUTEM.,"T, T*, A1*",True,"['Alcuin 1', 'Offa 7', 'Anonymous 741']","['1142', '305', '9907']",NEEDS MANUAL VALIDATION,107,107
Ep. 065,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,"A1, A2, A1*, K1, K2, D",True,"['Alcuin 1', 'Dodo 1']","['1142', '9908']",NEEDS MANUAL VALIDATION,107,109
Ep. 066,"Aquila (Arno episcopus) Cuculum amicum ad vitae emendationem hortatur.

c. 789—796.
","Codd, A1 fol. 2, A1 p. 4—5 n.2, A2 fol. 163—163'.",Ed J 287.,J 287. CARISSIMO> AVI CUCULO AQUILA SALUTEM.,"A1, A1*, A2",True,['Dodo 1'],['9908'],NEEDS MANUAL VALIDATION,109,110
Ep. 067,"Alevinus Acthelbaldo S. Petri Wiremuthensi et S. Pauli Girwensi abbati constituto
gratulatur. Petit, ut fraternitatem sibi tributam confirmet. Admonitiones addit.
ce. 789—796.
","Codd. (A 1 fol, 3'—4'), A2 fol. 163'—164', A1 p.5—7 n. 3%.",Ed J 272.,J 272. VENERABILI PATRL ET SANCTAE CONGREGATIONIS PASTORI AEDELBALDO» ABBATI HUMILIS CLIENTELLUS VESTER ALCVINE? IN CHRISTI CARITATE SALUTEM.,"A1, A2, A1*",True,"['Alcuin 1', 'Æthelbald 8', 'Anonymi 1881', 'Ceolfrith 1', 'Biscop 2']","['1142', '9909', '9910', '1045', '926']",NEEDS MANUAL VALIDATION,110,112
Ep. 068,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,112,112
Ep. 069,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,"A1, A1*",True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,112,113
Ep. 070,"Alevinus Vulfhardo abbati Anglico monachum poenitentem commendat.

e. 789—796,
","Codd. A1 fol. 13-14, A2 fol. 161', A1 p. 19 (n. 11), whi initium deest>.",Ed J 1.,PIO PATRI VULFHARDO ABBATI' ALBINUS HUMILIS LEVITA SALUTEM.,"A1, A1*",True,"['Alcuin 1', 'Wulfheard 5', 'Anonymous 742']","['1142', '3658', '9912']",NEEDS MANUAL VALIDATION,113,114
Ep. 071,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,"T, T*, K1, K2, Q, A1*",True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,114,114
Ep. 072,"Alevinus Rodtrudae et Berchtae, Caroli regis filiabus, de suo erga eas obsequio seribit.
. 789—796.

","Codd. Ax fol. 14'—15, A1 p. 20—21 n, 15%.",Ed J 256.,J 256. CARISSIMIS IN CHRISTO VIRGINIBUS RODTHRUDAE ET BERCHTAE SEMPITERNAE BEATITUDINIS SALUTEM.,"A1, A1*",True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,114,115
Ep. 073,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1a, A1b, A1*a, A1*b, K1, K2",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,115,115
Ep. 074,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*, G, M",False,"['Rado 1', 'Alcuin 1']","['3531', '1142']",NEEDS MANUAL VALIDATION,115,117
Ep. 075,"Alevinus Aginonem episcopum Constantiensem rogat, ut promissas sanctorum reliquias
per Angilbertum sibi mittat, 792—796 2

","Codd. T fol. 75, K 1 fol. 65'—66, K2 p. 188—189, A1 p. 130—131 n. 90%,","Ed , C 49, Q 65, F 26, J 207. — Migne col. 186.",DILECTISSIMO AGINO EPISCOPO ALBINUS MAGISTER> SALUTEM.,"T*, K1, K2, A1*",True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,117,118
Ep. 076,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,118,118
Ep. 077,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*",False,"['Alcuin 1', 'Joseph 2']","['1142', '9816']",NEEDS MANUAL VALIDATION,118,119
Ep. 078,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,H,False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,119,120
Ep. 079,"Alevinus Aedilthydae abbatissae, quondam reginae, matri Aethelredi regis Northan-
humbrorum, de muneribus missis gratias agit. Adhortationes addit. 793 —796.

","Codd, T fol. 64—55' (T fol. 30), Q fol. 120—1214.","Ed . Q 30, F 150, J 50. — Migne col. 471.",DILECTISSIMAB IN CHRISTO SORORI AEDILTHYDE>! MA'TRL HUMILIS LEVITA ALCHVINE SALUTEM.,"T, T*, Q",True,"['Alcuin 1', 'Æthelthida 1', 'Æthelred 7']","['1142', '9913', '2127']",NEEDS MANUAL VALIDATION,120,122
Ep. 080,"Alevinus Sigvulfo presbytero interrogationes de libro Genescos a se compositas mittit.
793—796.

","Codd, Romanus Palatinus (P) 289 saec. IX. fol. 2'—3', quem contulit Holder-Egger 8. n.; Hin- sidlensis 60 (E) saec. IX. p. 1, quem contulit V. Rev. P. Gabriel Meier; Parisinus 13187, quondam Cor- beiensis, tum S, Germani (C) saec. IX, fol. 65—66, quem cont. V. Cl. Lebegue; S. Petri Carnotensis 113 (Ch) saec. IX. fol. 1; Montensis in Hannonia, ex monasterio S. Mariae de Bona Spe (M) sacc. X, cont. Bethmann b. m., viblioth. Lambethanae Londini 148 (L) fol. 120 saec. XII; Caesareae Vindobon. 1060 (V) saec. XII. Exstat etiam in codicibus coenobii Sanctae Crucis prope Vindobon. 212 (cf. Pertz Archiv X, 507), Parisinis 1862, 1863, 2384 saec. X,","Ed . Margar. de la Bigne, Bibliothecae SS. patr. appendix Paris 1579 col. 1025; Quercetanus",DILECTISSIMO IN CHRISTO FRATRI SIGUULFO PRESBITERO ALBINUS SALUTEM.,"P, E, C, Ch, M, V",True,"['Alcuin 1', 'Sigewulf 2']","['1142', '9914']",NEEDS MANUAL VALIDATION,122,123
Ep. 081,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"E, G",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,123,124
Ep. 082,"Alevinus apud Beornvinum presbyterum de sinistra suspicione inprimis de fide Offae
regi servanda se excusat. 793—796.

","Codd. T fol. 72—72' (T fol. 66), K 1 fol. 50'—51, K2 p. 149-151, A 1 p. 113—114 n. 729.","Ed . C32, Q 54, Fz, J 15. — Migne col. 149.",DILECTO FRATRI BEORNUUINO PRESBYTERO ALCHVINI> DIACONUS SALUTEM.,"T, T*, K1, K2, A1*",True,"['Alcuin 1', 'Offa 7', 'Beornwine 2', 'Anonymi 1882']","['1142', '305', '9915', '9916']",NEEDS MANUAL VALIDATION,124,125
Ep. 083,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, K1, K2, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,125,127
Ep. 084,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,"['Gisla 1', 'Alcuin 1']","['1208', '1142']",NEEDS MANUAL VALIDATION,127,127
Ep. 085,"Carolus I rex Francorum Athilhardum archiepiscopum Cantuariensem et Ceolvulfum
episcopum Sidnacestrensem rogat, ut exules quondam Offae regis Merciorum commendent.

798—796.
",Codd. T fol. 76'—77 (T' fol. 70')s.,"Ed . Q61 col. 1576, Wilkins Concilia magnae Brit. I, 154, Frobenius II, 557, Bouquet Recueil",CAROLUS GRATIA DEI REX FRANCORUM ET LONGOBARDORUM AC PATRICIUS ROMANORUM ATHILHARDO ARCHIEPISCOPO! ET CEOLVULFO COEPISCOPO>? ILLIUS AETERNAE BEATITUDINIS SALUTEM.,"T, T*",True,"['Offa 7', 'Æthelheard 13', 'Alcuin 1']","['305', '2121', '1142']",NEEDS MANUAL VALIDATION,127,128
Ep. 086,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,"T, T*, K1, K2, A1*",True,"['Paulinus 2', 'Alcuin 1']","['3528', '1142']",NEEDS MANUAL VALIDATION,128,131
Ep. 087,"Carolus I rex Francorum Offam regem Merciorum rogat, ut presbyterum Scotticum,
qui ieiunium non observaverit, e dioecesi Coloniensi in patriam redire iubeat, ubi epi-
scopus eius de eo iudicet. 793—796.

","Cod, T fol. 92%.","Ed . Q 85 col. 1614, Baluzius Capitul. I, 275, Bouquet Recueil V, 626, Frobenius II, 557, Jaffé",KAROLUS GRATIA DEI REX FRANCORUM ET DEFENSOR SANCTAE DEI ECCLESIAE DILECTO FRATRI ET AMICO OFFA REGI SALUTEM.,T*,True,"['Offa 7', 'Alcuin 1']","['305', '1142']",NEEDS MANUAL VALIDATION,131,132
Ep. 088,"Alcvinus discipulum quendam iuniorem ad virtutem secundum exempla sanctorum
exercendam hortatur. De libris ab eo postulatis addit'. 793—796.

","Codd. H fol. 58'—60, T fol. 106'—107,","Ed . Q 102, F 143, J 290. — Migne col. 459.",DILECTISSIMO FILIO ATQUE ANIMALI> MEO ALBINUS SALUTEM.,"H, T*",True,"['Alcuin 1', 'Beornrad 1', 'Bede 1']","['1142', '3527', '424']",NEEDS MANUAL VALIDATION,132,133
Ep. 089,"Alevinus episcopum quendam ob studium praedicandi laudat et in eo confirmat.
793—796?
","Codd. A1 fol. 184—184', A 1 p. 158—169 n. 113%,",Ed J 218.,J 218. PIO PONTIFICI ILL. ALBINUS> SALUTEM.,"A1, A1*",True,"['Alcuin 1', 'Anonymous 743', 'Anonymous 744', 'Anonymous 745']","['1142', '9917', '9918', '9919']",NEEDS MANUAL VALIDATION,133,134
Ep. 090,"Alevinus Usualdo abbati et monachis S. Salvatoris Amiatinis scribit se eorum petitionem
Carolo regi Francorum commendavisse. Rogat, ut preces pro se faciant. 794—796.

","Codd. T fol. 85—85' (T fol. 87), K 1 fol, 40'—41', K2 p, 122—124, A1 p. 105—106 n. 685.","Ed . 025, Q 79, F'17, J 128, — Migne col. 178.",DOMINI DE[> SALVATORIS MUNDI¢ SANCTISSIMAE CONGREGATIONI ET PIO PATRI USUALDO@! HUMILIS LEVITA ALCHVINUS  SALUTEM.,"T, T*, K1, K2, A1*",True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,134,135
Ep. 091,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,135,135
Ep. 092,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T*, S1, S1*",False,,,NEEDS MANUAL VALIDATION,135,136
Ep. 093,"Carolus I rex Francorum Leoni III papae constituto gratulatur. Mittit munera
Hadriano I papae parata. Angilbertwn legatum suum commendat. De patriciatu suo
uddit monetque, ut canones sequatur. 796.

","Codd. T fol. 90'—92; 8.1 fol. 205'—207's,","Ed . Q 84 col. 1612, Baluzius Capitul. I, 271, Bouquet Rec. V, 625, Frobenius II, 559, Jaffé",KAROLUS> GRATIA DEI REX FRANCORUM ET LANGOBARDORUM AC PATRICIUS ROMANORUM LEONI PAPAE PERPETUAE BEATITUDINIS IN CHRISTO SALUTEM.,"T*, S1",True,,,NEEDS MANUAL VALIDATION,136,138
Ep. 094,"Alevinus Leoni III papae constituto gratulatur. Rogat, ut peccatis suis indulgeat.
De Angilberto abbate Centulensi. 796.

","Codd. 1 fol. 80—81 (I fol. 83'—84), K 1 fol. 45'—47, K2 p. 136-140, A 1 p, 110—112 n, 705.","Ed . C27, Q 72, F 20, J51. — Migne col. 178.",DOMINO BEATISSIMO ATQUE OMNI HONORE NOMINANDO> LEONI PAPAE HUMILIS LEVITA ALBINUS AETERNAE IN CHRISTO GLORIAE SALUTEM.,"T, T*, K1, K2, A1*",True,"['Leo 1', 'Alcuin 1']","['2009', '1142']",NEEDS MANUAL VALIDATION,138,139
Ep. 095,"Alevinus Paulino patriarchae Aquileiensi respondet. Nuntium commendat, Signi-
ficat de aliis litteris per Angilbertum Romam euntem ad eum missis. 796.

","Codd. T fol. 81'—82 (T fol. 84'), K 1 fol. 73', K2 p, 210-211, A1 p. 137-138 n. 97%,","Ed . C59, Q 73, F 24, J 52. — Migne col. 185.",VENERANDO VIRO PAULINO PATRIARCHAE ALBINUS SALUTEM.,"T, T*, K1, K2, A1*",True,"['Paulinus 2', 'Alcuin 1']","['3528', '1142']",NEEDS MANUAL VALIDATION,139,140
Ep. 096,"Alcvinus Paulinum patriarcham Aquileiensem de duobus armillis aureis, a Liutgarda
regina missis, certiorem facit. 796.

","Codd, T fol. 95', K1 fol. 77—77', K2 p. 221—222, AQ fol. 169', A 1 p, 142 n. 100%,","Ed . C 62, Q95, F 25, J 63, — Migne col. 186.",DOMINO PATRI PAULINO ALBINUS SALUTEM.,"T, K1, K2, A2, A1*",True,"['Paulinus 2', 'Liutgard 1', 'Alcuin 1']","['3528', '9933', '1142']",NEEDS MANUAL VALIDATION,140,141
Ep. 097,"Alevinus Angilberto abbati Centulensi, Romam profecto, scribit stabilitatem sibi
nondum concessam esse. Petit, ut sanctorum reliquias sibi acquirat saepeque litteras ad
se mittat. 796.

","Codd. T fol. 95—95', K 1 fol. 63'—64, K 2 p. 183—185, A1 p. 129 mr. 87%.","Ed , C46, Q92, F 21, J 54. — Migne col. 180.",DULCISSIMO FILIO VIR FLUCTIVAGUS SALUTEM.,"T*, K1, K2, A1*",True,"['Angilberct 1', 'Alcuin 1']","['9973', '1142']",NEEDS MANUAL VALIDATION,141,142
Ep. 098,"Alevinus Erico duci Foroiulano, quod se visitaverit, gratias agit, ewmque optimis
ominibus prosequitur. Monet, ut Paulini patriarchae Aquileiensis consilia sequatur.

796.
","Codd, T fol, 96—96', K1 fol. 67—67', K2 p. 192—193, A1 p. 1381-132 mr. 929,","Ed . C53, Q94, F 1, J.55. — Migne col. 139.",VENERANDO VIRO ERICO> DUCI? ALBINUS MAGISTER SALUTEM.,"T*, K1, K2, A1*",True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,142,143
Ep. 099,"Alevinus Paulinum patriarcham interrogat, num Christi fidem apud Avaros pro-
pagandam suscepturus sit. Litteras poscit. 796.
","Codd, K1 fol. 76—77, K2 p. 217—221, S1 fol. 210'—212' (S1i fol. 139—141), A 1 fol. 119, quem contulit R. Priebsch, A 1 p. 140—141 n. 999.","Ed , C61, Q112, F 34, J 56. — Migne col. 198.","DILECTISSIMO% PATRI ET PIO PONTIFICI PAULINO PATRIARCHAE¢! ALBINUS, VESTRAE FILIUS DILECTIONIS, PERPETUAE IN CHRISTO PROSPERITATIS SALUTEM.","K1, K2, S1, S1*, A1, A1*",True,"['Paulinus 2', 'Alcuin 1']","['3528', '1142']",NEEDS MANUAL VALIDATION,143,144
Ep. 100,"Carolus rex Francorum Offae regi Merciorum respondet de peregrinorum Romam
euntium immunitate, de negotiatorum teloneo solvendo, de Odberhto presbytero, de petris
nigris. Addit de sagis ad se mittendis. Offert munera, prospiciens animae Hadriani
papae. 796 post Apr. 18.

","Codd. A 1 fol. 143—144' (A1 p. 170—172 n. 125); excerpta leguntur ap. Willelm. Malmesbur. Gesta reg. Anglor. l. I § 98 (Jaffé Bibl. IV, 357).","Ed . Wilkins Cone. magnae Britanniae I, 158 ex M. S. Usserii; Haddan and Stubbs Councits",CAROLUS GRATIA DEI REX FRANCORUM ET LANGOBARDORUM AC PATRICIUS ROMANORUM VIRO VENERANDO AC FRATRI CARISSIMO OFFAE REGI MERCIORUM PRESENTIS PROSPERITATIS AC AETERNAE BEATITUDINIS IN CHRISTO SALUTEM.,"A1, A1*",False,['Æthelheard 13'],['2121'],NEEDS MANUAL VALIDATION,144,146
Ep. 101,"Alevinus Offae regi Merciorum scribit Carolum regem Francorum ei bene velle et
occisionem Aethilredi regis Northanhumbrorum vehementissime indignari; seque in Angliam
revertendi consilium abiecisse. Addit de ecclesia S. Martini Turonensi sibi collata; legatos
commendat. 796 post Apr. 18.

","Codd, A 1 fol. 134'—136', A1 p, 159-161 n. 114, Duae partes huius epistolae ap. Willelm. Malmes- bur. Gesta reg. Anglor. I § 70 et 72 ‘Sciat veneranda — iam fecisset’ et ‘Ego paratus eram — foedata’s.","Ed . Haddan and Stubbs Councils IIT, 498 priorem partem, J58. — Migne col. 213.",EXCELLENTISSIMO VIRO NOBISQUE DESIDERANTISSIMO OFFAN REGI MERCIORUM HUMILIS AMICUS ALCHVINE SALUTEM.,"A1, A1*",False,"['Offa 7', 'Charlemagne 1', 'Æthelred 7', 'Alcuin 1', 'Anonymi 1892', 'Ecgfrith 7', 'Anonymi 1886', 'Cynethryth 2', 'Æthelheard 13', 'Leo 1', 'Anonymi 1887', 'Anonymi 1889', 'Anonymi 1890', 'Anonymi 1891', 'Anonymi 1883', 'Anonymi 1884', 'Anonymi 1885']","['305', '247', '2127', '1142', '9931', '4467', '9924', '3911', '2121', '2009', '9925', '9928', '9929', '9930', '9921', '9922', '9923']",NEEDS MANUAL VALIDATION,146,148
Ep. 102,"Alevinus Edilburgae abbatissae Flaedanbyrgensi, Offae regis Merciorum filiae, scribit
se in Angliam reversurum non esse. Aethelfledam, viduam Aethelredi Northanhumbrorum
regis occisi, admoneri vult, ut in monasterium secedat. Mittit munera et Liudgardae uxoris
Caroli regis et sua. 796 post Apr. 18.

","Cod, H fol. 10—11.","Ed . F 166, J 59. — Migne col. 227.",IN DEO DILECTISSIMAE FILIAE EDILBURGAE SALUTEM.,H,False,"['Alcuin 1', 'Liutgard 1', 'Æthelburg 8', 'Anonymous 748', 'Anonymi 1894']","['1142', '9933', '4320', '9935', '9934']",NEEDS MANUAL VALIDATION,148,149
Ep. 103,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A2, A1*",False,"['Alcuin 1', 'Anonymous 749', 'Anonymous 748', 'Anonymous 750', 'Æthelburg 8', 'Anonymous 751']","['1142', '9936', '9935', '9937', '4320', '9938']",NEEDS MANUAL VALIDATION,149,150
Ep. 104,"Alevinus pontifices Britanniae hortatur, ut, Caroli regis Francorum mumeribus
acceptis, pro eo et pro Adriano papa preces faciant. 796 post Apr. 18.
","Codd. At fol. 133-134, A1 p. 157—158 n. 1125,",Ed J 61.,"SANCTISSIMIS IN CHRISTO ET IN OMNI HONORE NOBIS DILIGENDIS BRITTANNIAE, DULCISSIME PATRIE, PONTIFICIBUS HUMILIS LEVITA ALCHVINUS, SANCTAE EBORACENSIS AECCLESIAE FILIUS, IN CHRISTI CARITATE SALUTEM.","A1, A1*",False,"['Alcuin 1', 'Charlemagne 1', 'Hadrian 3', 'Anonymi 1895', 'Anonymi 1897', 'Anonymi 1896']","['1142', '247', '7258', '9939', '9942', '9940']",NEEDS MANUAL VALIDATION,150,151
Ep. 105,"Alevinus Edilthrudam abbatissam, quondam reginam, de filii Aethilredi Northan-
humbrorum regis nece consolatur. 796 post Apr. 18.

",Cod. S fol. 173-174.,"Ed . F 151, J 62. — Migne col. 473.",DILECTISSIMAE IN CHRISTO MATRI EDILTHRUDAE' HUMILIS LEVITA ALCHVINUS SALUTEM.,S,False,"['Alcuin 1', 'Æthelthida 1', 'Æthelred 7']","['1142', '9913', '2127']",NEEDS MANUAL VALIDATION,151,152
Ep. 106,"Alevinus matrem Anglicam de morte filii consolatur. 796? post Apr. 18.

",Cod. H fol. 9—10.,"Ed . F 164, J 63. — Migne col. 226.",CARISSIMAE IN CHRISTO MATRI? FIDELIS IN CARITATE FILIUS ALCHVINUS DIACONUS SALUTEM.,H,False,"['Alcuin 1', 'Anonymous 752', 'Anonymous 753']","['1142', '9943', '9944']",NEEDS MANUAL VALIDATION,152,153
Ep. 107,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S1, S1*, B",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,153,155
Ep. 108,"Alevinus Earduulfum, regem Northanhumbrorum constitutum, admonet.

","Codd, Ha fol. 1'—18, Hb fol. 80~80'. 796 post m. Maium.","Ed . F 166, J 65. — Migne col. 229.",‘VIRO INLUSTRI EARDUULFO REGI! ALCHVINE> DIACONUS SALUTEM.,"Ha, Hb",False,"['Alcuin 1', 'Eardwulf 4', 'Anonymi 1898', 'Anonymi 1899']","['1142', '7277', '9946', '9947']",NEEDS MANUAL VALIDATION,155,156
Ep. 109,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,H,False,"['Alcuin 1', 'Osbald 1', 'Anonymi 1900', 'Anonymi 1901', 'Æthelred 7', 'Anonymous 754', 'Anonymi 1902']","['1142', '9863', '9948', '9949', '2127', '9950', '9951']",NEEDS MANUAL VALIDATION,156,156
Ep. 110,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, P, X",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']","[['Hobr', '12', '6'], ['Mich', '2', '9'], ['Bel', '11', ""'10""], ['Eeel', '12', '1']]",156,159
Ep. 111,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"H, T*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,159,162
Ep. 112,"Alevinus Arnoni episcopo Salisburgensi, de rebus in Avaria gestis certior factus,
respondet de discipulis, de Carolo rege, de Eanbaldo I archiepiscopo Eboracensi mortuo.
Mittit epistolam 110. Se in Alsatiam iturum esse. 796 post Aug. 10.

","Codd, S1 fol. 129'—130' (S1 fol. 29—29').","Ed . F 30, J 70. — Migne col. 191.",PIO PATRI ET FRATRI FIDELI ET FILIO CARISSIMO SALUTEM.,"S1, S1*",False,"['Alcuin 1', 'Arno 1', 'Eanbald 1', 'Æthelberht 8']","['1142', '9847', '3288', '10874']",NEEDS MANUAL VALIDATION,162,163
Ep. 113,"Alevinus Arnoni episcopo Salisburgensi, qua ratione Huni fidem christianam docendi
sint, exponit. 796 post Aug. 10.

","Codd. § fol. 1'—4, H fol. 69'—73', T fol. 109—111'%.","Ed . Q 104, F 31, J 71. — Migne col. 192.",DULCISSIMO FRATRI ET SANCTISSIMO PRAESULI AQUILAE ALBINUS SALUTEM.,"S, H, T*",False,"['Arno 1', 'Alcuin 1', 'Gregory 1']","['9847', '1142', '280']",NEEDS MANUAL VALIDATION,163,166
Ep. 114,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, A2, A1, A1*, C, Ca",False,"['Alcuin 1', 'Eanbald 2', 'Æthelberht 8', 'Anonymi 1903', 'Anonymi 1904']","['1142', '3513', '10874', '9953', '9954']",NEEDS MANUAL VALIDATION,166,170
Ep. 115,"Alevinus Eanbaldum IT archiepiscopum Eboracensem rogat, ut superiorem epistolam

suam saepe in manus sumat. Hortatur, ut bonos consiliarios adhibeat.

796 post Aug. 10,
","Codd, H fol. 29-30, A1 p. 63—64 n, 415,","Ed . F170, J 78. — Migne col. 233.",VENERANDAE? DIGNITATIS ET DULCISSIMAE CARITATIS FILIO SIMEONI¢? SUMMO SACERDOTI4@ ALBINUS PRAESENTIS PROSPERITATIS ET PERPETUAE BEATITUDINIS IN CHRISTO SALUTEM.,"H, A1*",False,"['Alcuin 1', 'Eanbald 2']","['1142', '3513']",NEEDS MANUAL VALIDATION,170,171
Ep. 116,"Alevinus Eanbaldum IT archiepiscopum Eboracensem commonet, ut iusta faciat et
8. Gregorii librum pastoralem semper secum ferat. 796 post Aug. 10.

","Codd. § fol. 172—172', A2 fol. 140—140', A1 p. 70—71 nr. 49%.","Ed . F'57, Haddan and Stubbs Councils III, 505, J 74. — Migne col. 245.",KARISSIMO FILIO SYMEONI SACERDOTI ALBINUS PATER SALUTEM.,"S, A2, A1*",False,"['Alcuin 1', 'Eanbald 2', 'Anonymi 1905', 'Æthelberht 8', 'Gregory 1', 'Offa 7', 'Æthelred 7']","['1142', '3513', '9955', '10874', '280', '305', '2127']",NEEDS MANUAL VALIDATION,171,172
Ep. 117,"Alevinus monachis Murbacensibus scribit, quam ob rem ad eos non accesserit. Suadet
caritatem humilitatem oboedientiam pacem studia litterarum, 796.

","Codd, T' fol. 74-76, K1 fol. 35'—36', K2 p. 105—108, A 1 p. 103-106 n. 679,","Ed . C22, Q64, F47, J 75. — Migne col. 217.",VENERABILIBUS IN CHRISTO FRATRIBUS IN ECCLESIA! SANCTI LEODEGARIL» EPISCOPI ” SERVIENTIBUS ALCHVINE DEVOTUS VESTRI PROFECTUS IN CHRISTO SALUTEM.,"T*, K1, K2, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,172,173
Ep. 118,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,T*,False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']",NEEDS MANUAL VALIDATION,173,174
